duchenne,neutral,strong duchenne,6 only,polite
0.181369460696,0.370114567052,0.0720873977546,0.0975773934253,0.278851181073
0.0802764559927,0.0290499791714,0.00587755627501,0.861738878338,0.0230571302233
0.0320432178424,0.746393332663,0.0103373473068,0.0333871239444,0.177838978243
0.0917004716608,0.237701222847,0.0351340277259,0.0630946800496,0.572369597717
0.479034951217,0.0362331708378,0.188559262531,0.163134337313,0.1330382781
0.324885804177,0.0482309467563,0.0316588579067,0.500521593633,0.0947027975272
0.0457907472733,0.262914377953,0.00656059103538,0.626400868412,0.0583334153266
0.829484678588,0.00337995337995,0.0372877126302,0.0998176065409,0.0300300488609
0.313781895272,0.043190602913,0.517733609364,0.0120253059402,0.113268586511
0.0349255444152,0.500722032608,0.00331662902743,0.0576411244123,0.403394669537
0.131051796027,0.0457193773496,0.0225522691169,0.0141775093935,0.786499048113
0.00640824843638,0.930093684807,0.005293895547,0.0237646913334,0.0344394798766
0.0531162196994,0.579874636092,0.0073409168351,0.30272572044,0.0569425069334
0.36955128249,0.0593083609232,0.105980150195,0.0570779690649,0.408082237327
