duchenne,neutral,strong duchenne,6 only,polite
0.0690433190318,0.318939246843,0.0270428741669,0.0642426571541,0.520731902805
0.168851926685,0.371736704607,0.0578767214977,0.0998861235261,0.301648523685
0.0865224923965,0.0153622020475,0.00347680615539,0.869275656155,0.0253628432456
0.0083515993044,0.907842584354,0.00483578553631,0.0278193889634,0.0511506418415
0.774890613193,0.00441279906982,0.0731403869536,0.0934926779131,0.0540635228709
0.342824648857,0.0466800874659,0.0341090716291,0.476401270237,0.0999849218103
0.365967578731,0.0588779367772,0.100136445368,0.0543060739559,0.420711965168
0.337685740019,0.0484217449784,0.429256879755,0.0670354744268,0.11760016082
0.0428460467134,0.252705259264,0.00901579802863,0.643239840176,0.0521930558185
0.0526475881085,0.576087274513,0.0172758777201,0.292349705238,0.0616395544206
0.121048836966,0.0685801587698,0.0226009275266,0.0157541604031,0.772015916335
0.0430819945897,0.680246136987,0.0153301575661,0.0334376124784,0.227904098379
