duchenne,neutral,strong duchenne,6 only,polite
0.389065749783,0.0317227033329,0.216823820447,0.0807753981911,0.281612328246
0.00767376325682,0.910197351961,0.00537640284926,0.0294126815486,0.0473398003839
0.113377057987,0.0669155950112,0.00820418298646,0.758242160264,0.0532610037507
0.0867024752158,0.280612798633,0.0241312461423,0.0544897286568,0.554063751352
0.13108848717,0.440607631691,0.188395531727,0.0634934554904,0.176414893921
0.867217615598,0.0112665112665,0.0135975135975,0.0377222969016,0.0701960626367
0.0499036762946,0.631311170444,0.0116900252972,0.259318913637,0.0477762143278
0.0364590403064,0.163159778469,0.00117753623188,0.0337948347328,0.76540881026
0.0358476490039,0.706435187901,0.00937319278684,0.0268777245101,0.221466245799
0.107978116688,0.250497778136,0.0151965935257,0.342202666883,0.284124844767
0.32917148489,0.0330812854442,0.53438581215,0.0162946825281,0.0870667349873
0.0121020885438,0.0136584958959,0.00228502705953,0.971954388501,0.0
0.249557920972,0.0662935816832,0.0262496347365,0.547291921161,0.110606941447
0.139000935183,0.412204102678,0.0237792281873,0.0818157704532,0.343199963498
0.109660018401,0.00698724077363,0.0141599365938,0.0102107605921,0.85898204364
0.0476804400377,0.278310119332,0.00761011269205,0.594952041858,0.0714472860796
0.443231251045,0.146916806195,0.0283554355858,0.224637452916,0.156859054258
0.632182796406,0.00589171352702,0.206986976024,0.0543071868653,0.100631327178
0.281798155517,0.0377140269065,0.0903965087834,0.0133263178847,0.576764990908
