Filename,filetype,y,duchenne,neutral,strong duchenne,6 only,polite
2016-06-27_15-39-18-93-W-T-Buck417_openface.csv,W-T,True,0.003676470588235294,0.8100490196078431,0.0,0.1017156862745098,0.08455882352941177
2016-06-27_16-30-46-620-I-B-jenningska_openface.csv,I-B,False,0.24363233665559247,0.08637873754152824,0.20376522702104097,0.0033222591362126247,0.4629014396456257
2016-06-27_16-30-46-620-W-B-hwong_openface.csv,W-B,False,0.035632183908045977,0.1413793103448276,0.059770114942528735,0.7632183908045977,0.0
2016-06-27_18-38-55-777-I-B-interrogator_openface.csv,I-B,False,0.012084592145015106,0.0,0.0,0.9871601208459214,0.0007552870090634441
2016-06-27_18-38-55-777-W-B-xyjiryo_openface.csv,W-B,False,0.0,0.9303482587064676,0.0,0.0,0.06965174129353234
2016-06-28_11-01-38-934-I-B-interrogator_openface.csv,I-B,False,0.012759170653907496,0.30861244019138756,0.0,0.6275917065390749,0.051036682615629984
2016-06-28_11-01-38-934-W-B-MasterBeatty_openface.csv,W-B,False,0.0016038492381716118,0.24939855653568566,0.0,0.0,0.7489975942261428
2016-06-28_14-46-30-695-I-B-interrogator_openface.csv,I-B,False,0.12579113924050633,0.038765822784810125,0.0,0.7943037974683544,0.04113924050632911
2016-06-28_14-46-30-695-W-B-DefJukie_openface.csv,W-B,False,0.29172932330827067,0.0015037593984962407,0.0,0.0007518796992481203,0.706015037593985
2016-06-28_14-54-10-129-I-T-SkiMan_openface.csv,I-T,True,0.48427672955974843,0.0,0.4779874213836478,0.0,0.03773584905660377
2016-06-28_14-54-10-129-W-T-kessikitty_openface.csv,W-T,True,0.07666098807495741,0.29471890971039183,0.0034071550255536627,0.5877342419080068,0.03747870528109029
2016-06-29_11-06-57-279-I-B-interrogator_openface.csv,I-B,False,0.0,0.6772908366533864,0.0,0.03054448871181939,0.2921646746347942
2016-06-29_11-06-57-279-W-B-describer_openface.csv,W-B,False,0.14285714285714285,0.0,0.0,0.7142857142857143,0.14285714285714285
2016-06-30_14-03-23-90-I-T-interrogator_openface.csv,I-T,True,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
