Filename,y,duchenne,neutral,strong duchenne,6 only,polite
2016-03-03_18-01-50-492-W-T-bpark014_openface.csv,True,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0
2016-03-11_16-16-40-42-W-B-pamela3_openface.csv,False,0.352580927384077,0.0,0.007874015748031496,0.6395450568678915,0.0
2016-03-15_18-15-13-468-W-T-Sprinkles_openface.csv,True,0.09735973597359736,0.07425742574257425,0.0,0.12788778877887788,0.7004950495049505
2016-03-15_21-12-05-243-W-T-Asha4678_openface.csv,True,0.0,0.9859154929577465,0.0,0.014084507042253521,0.0
2016-03-16_10-05-49-922-W-T-tarples_openface.csv,True,0.40870616686819833,0.041112454655380895,0.10519951632406288,0.3373639661426844,0.10761789600967352
2016-06-07_12-20-38-706-W-T-pkaye_openface.csv,True,0.06779661016949153,0.3135593220338983,0.0,0.6186440677966102,0.0
2016-06-08_13-59-09-521-W-B-sethdeco_openface.csv,False,0.06960227272727272,0.3693181818181818,0.007102272727272727,0.0,0.5539772727272727
2016-06-08_14-28-32-854-W-B-JimBob_openface.csv,False,0.0,0.19478737997256515,0.0,0.7791495198902606,0.02606310013717421
2016-06-08_19-02-40-950-W-B-stars33hoc_openface.csv,False,0.0,0.9702643171806168,0.0,0.0,0.02973568281938326
2016-06-09_09-05-50-814-W-T-chomp_openface.csv,True,0.0,0.3411978221415608,0.0,0.6388384754990926,0.019963702359346643
2016-06-09_09-16-19-112-W-T-pacers101_openface.csv,True,0.0,0.996078431372549,0.0,0.0029411764705882353,0.000980392156862745
2016-06-09_10-21-37-95-W-B-describer_openface.csv,False,0.3994708994708995,0.0291005291005291,0.24603174603174602,0.1693121693121693,0.15608465608465608
2016-06-09_14-57-19-201-W-B-RobbyRoo_openface.csv,False,0.11960784313725491,0.42745098039215684,0.246078431372549,0.00196078431372549,0.20490196078431372
2016-06-09_19-03-42-701-W-T-slothbear_openface.csv,True,0.4892086330935252,0.3597122302158273,0.0,0.08633093525179857,0.06474820143884892
2016-06-10_11-15-58-679-W-T-Obes86_openface.csv,True,0.021087680355160933,0.5882352941176471,0.0,0.06326304106548279,0.3274139844617092
2016-06-15_14-19-27-616-W-B-describer_openface.csv,False,0.03602726387536514,0.8169425511197663,0.021421616358325218,0.0759493670886076,0.04965920155793573
2016-06-27_10-18-39-581-W-T-blueamy_openface.csv,True,0.013592233009708738,0.0,0.0,0.9864077669902913,0.0
2016-06-27_13-10-48-352-W-T-describer_openface.csv,True,0.0163727959697733,0.022670025188916875,0.0,0.05037783375314862,0.9105793450881612
2016-06-27_15-39-18-93-W-T-Buck417_openface.csv,True,0.003676470588235294,0.8100490196078431,0.0,0.1017156862745098,0.08455882352941177
2016-06-27_16-30-46-620-W-B-hwong_openface.csv,False,0.035632183908045977,0.1413793103448276,0.059770114942528735,0.7632183908045977,0.0
2016-06-27_18-38-55-777-W-B-xyjiryo_openface.csv,False,0.0,0.9303482587064676,0.0,0.0,0.06965174129353234
2016-06-28_11-01-38-934-W-B-MasterBeatty_openface.csv,False,0.0016038492381716118,0.24939855653568566,0.0,0.0,0.7489975942261428
2016-06-28_14-46-30-695-W-B-DefJukie_openface.csv,False,0.29172932330827067,0.0015037593984962407,0.0,0.0007518796992481203,0.706015037593985
2016-06-28_14-54-10-129-W-T-kessikitty_openface.csv,True,0.07666098807495741,0.29471890971039183,0.0034071550255536627,0.5877342419080068,0.03747870528109029
2016-06-29_11-06-57-279-W-B-describer_openface.csv,False,0.14285714285714285,0.0,0.0,0.7142857142857143,0.14285714285714285
2016-06-30_14-03-23-90-W-T-describer_openface.csv,True,0.3573735199138859,0.1603875134553283,0.006458557588805167,0.2023681377825619,0.27341227125941875
2016-07-01_11-11-17-124-W-B-describer_openface.csv,False,0.06043956043956044,0.22527472527472528,0.013736263736263736,0.0989010989010989,0.6016483516483516
2016-07-01_11-21-24-649-W-T-describer_openface.csv,True,0.0165016501650165,0.6325632563256326,0.0,0.10121012101210121,0.24972497249724973
2016-07-01_14-09-14-629-W-B-describer_openface.csv,False,0.17761806981519507,0.0646817248459959,0.12628336755646818,0.003080082135523614,0.6283367556468172
2016-07-01_14-17-15-163-W-B-describer_openface.csv,False,0.1134020618556701,0.422680412371134,0.11929307805596466,0.03829160530191458,0.30633284241531666
2016-10-31_14-31-23-340-W-T-cdt9681_openface.csv,True,0.11948676824378508,0.38412189254210105,0.0,0.32878909382518046,0.16760224538893345
2016-10-31_14-50-50-13-W-B-N3IL_openface.csv,False,0.0,0.9653220099079972,0.0,0.0,0.03467799009200283
2016-10-31_14-57-52-839-W-B-Gabby12_openface.csv,False,0.0,0.9748603351955307,0.0,0.008379888268156424,0.01675977653631285
2016-11-02_09-00-13-953-W-B-CheerfulChuck_openface.csv,False,0.0,0.9038461538461539,0.0,0.038461538461538464,0.057692307692307696
2016-11-02_09-12-07-438-W-T-CheerfulChuck_openface.csv,True,0.0,0.8189845474613686,0.0,0.06181015452538632,0.11920529801324503
2016-11-07_16-04-30-467-W-T-Marc_openface.csv,True,0.22832369942196531,0.0,0.027938342967244702,0.005780346820809248,0.7379576107899807
2016-11-07_16-31-08-51-W-B-Marc_openface.csv,False,0.004580152671755725,0.0,0.0,0.0,0.9954198473282443
2016-11-16_15-02-44-269-W-T-Dorabella_openface.csv,True,0.29411764705882354,0.029411764705882353,0.0,0.5588235294117647,0.11764705882352941
2016-11-16_15-09-44-142-W-B-cupcakemenace_openface.csv,False,0.2135593220338983,0.2745762711864407,0.0,0.17627118644067796,0.33559322033898303
